,ID,Created_at,Source,Favorite_Count,Retweet_Count,Tweets,Language
0,1248675865526964225,2020-04-10 18:15:00,Ministry of Health,152,111,"Know the difference between medical quarantine and home quarantine.
#COVID19 https://t.co/7lEGm6oCbd",en
1,1248663151450750976,2020-04-10 17:24:29,Ministry of Health,241,131,"Responsible measures be taken before, during and after travel into the Kingdom. https://t.co/yuESrMW6ab",en
2,1248645666403790855,2020-04-10 16:15:00,Ministry of Health,1325,1121,للمصابين بفيروس ⁧#كورونا⁩ أو المخالطين لهم.. وكل من هم في العزل الصحي.. نحن معكم في كل لحظة، نتابع صحتكم، نحدد موقع عزلكم، ونتواصل معكم وننبهكم، عبر تطبيق تطمن. https://t.co/XqIQeVyBhk,ar
3,1248594454543507458,2020-04-10 12:51:30,Ministry of Health,5066,5745,#الصحة تعلن عن تسجيل (364) حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد19)، وتسجيل (3) حالات وفيات رحمهم الله، وتسجيل (19) حالة تعافي ليصبح مجموع الحالات المتعافية (685) حالة ولله الحمد. https://t.co/L8T9a4imxx,ar
4,1248590904195194881,2020-04-10 12:37:23,Ministry of Health,553,416,"بـ6 خطوات و 6 أسئلة ..
قم باختبار كورونا عبر تطبيق موعد وتطمن على صحتك بكل سهولة

حمل تطبيق موعد أو قم بتحديثه",ar
5,1248576000474177543,2020-04-10 11:38:10,Ministry of Health,1513,1438,"(إنّا كل شيء خلقناهُ بقدر) يتحقق الإيمان، بالصبر على البلاء ومعرفة أن كل قضاء يأتي من الله هو خير، والاحتساب بفعل الأسباب للوقاية من الوباء.
⁧#كلنا_مسؤول https://t.co/0JD1uYe5xV",ar
6,1248354031107530762,2020-04-09 20:56:08,Ministry of Health,2475,1944,بلغ عدد الفحوصات المخبرية لفيروس #كورونا الجديد (كوفيد-19) في المملكة حتى يوم 8 أبريل (115،585) فحص وذلك في 10 مختبرات حول المملكة باستخدام تقنية البلمرة الجزيئية، بمعدل 3340 فحص لكل مليون من السكان. https://t.co/MGu8Fuw5qI,ar
7,1248353596409864196,2020-04-09 20:54:25,Ministry of Health,574,435,"By April 8th, (115585) tests for COVID-19 have been performed in Saudi Arabia, in 10 molecular labs using PCR technology. This translates to 3340 tests per million population.
#COVID19 https://t.co/wsbNbDacem",en
8,1248351901629939714,2020-04-09 20:47:41,Ministry of Health,894,721,"إلى أبنائنا وبناتنا العائدين للوطن🇸🇦 نتمنى لكم رحلة آمنة وصحية باتباعكم لهذه التوصيات.
#عودة_آمنة https://t.co/J4LPiNHAfk",ar
9,1248345897378988033,2020-04-09 20:23:49,Ministry of Health,742,736,"حمايةً لنفسك ولمن حولك يجب عليك الإفصاح حينما يقع المرض عندك أو في بيتك أو في أسرتك.
#كلنا_مسؤول https://t.co/mtbVg3B5Qo",ar
10,1248328577206149122,2020-04-09 19:15:00,Ministry of Health,398,327,8 steps to protect yourself from #COVID19 https://t.co/T2egAy4j08,en
11,1248316802519760896,2020-04-09 18:28:12,Ministry of Health,298,193,"A handy guide to home quarantine.
#COVID19",en
12,1248278581320593409,2020-04-09 15:56:20,Ministry of Health,766,579,أبرز ما جاء في المؤتمر الصحفي للمتحدث الرسمي لوزارة الصحة. https://t.co/3HtyjOt8TX,ar
13,1248278377984856067,2020-04-09 15:55:31,Ministry of Health,308,181,Highlights of the press conference of the official spokesperson. https://t.co/dIi42SgcRm,en
14,1248229829322956800,2020-04-09 12:42:36,Ministry of Health,6866,7020,#الصحة تعلن عن تسجيل (355) حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد19)، وتسجيل (3) حالات وفيات رحمهم الله، وتسجيل (35) حالة تعافي ليصبح مجموع الحالات المتعافية (666) حالة ولله الحمد. https://t.co/uU60I2vNTG,ar
15,1248228627340316672,2020-04-09 12:37:50,Ministry of Health,1030,1059,"استمراراً لجهود #أبطال_الصحة التطوعية وبتكامل حكومي، تم إطلاق @H_volunteering والذي يهدف إلى مشاركة المجتمع في تحقيق التطوع الصحي.  
#لبيه_ياوطن https://t.co/6xOJW0eyUA",ar
16,1248188466963382272,2020-04-09 09:58:15,Ministry of Health,1578,1325,"تطبيق ""تطمن"" للمصابين بفيروس كورونا والمخالطين لهم ومن هم في الحجر الصحي، لمتابعة حالتهم والتزامهم بالتعليمات الوقائية. https://t.co/MA9gK2F9Wn",ar
17,1248181698191413250,2020-04-09 09:31:21,Ministry of Health,2238,1661,البث المباشر ، نصائح لمرضى السكري خلال تواجدهم بالمنزل، مع د.محمد الحربي. https://t.co/NlxG6AUzhF,ar
18,1248025889356513280,2020-04-08 23:12:13,Ministry of Health,1082,1155,"وزارة الصحة تطلق حملة توعوية تهدف إلى التباعد الاجتماعي، وترك مسافة #متر_ونص عند الحاجة لمخالطة الآخرين.
https://t.co/cenV0dWg0y",ar
19,1247992666106855431,2020-04-08 21:00:12,Ministry of Health,2044,1519,"خلال ٤٥ ثانية فقط..
خدمة المسار السريع لفحص فيروس ⁧#كورونا⁩ الجديد المخصصة لمن يتم استدعاؤهم بعد التقصي الوبائي. 
⁧#كلنا_مسؤول https://t.co/Kft69Xt9IR",ar
20,1247980278666137602,2020-04-08 20:10:59,Ministry of Health,1131,652,نصائح لمرضى السكري خلال تواجدهم بالمنزل، مع د.محمد الحربي، عبر البث المباشر غداً الخميس الموافق 9 أبريل 2020 الساعة 12:30 ظهراً. https://t.co/WIOfANflkZ,ar
21,1247977516498911233,2020-04-08 20:00:00,Ministry of Health,1333,1758,"إهمالك للتعليمات يساهم بزيادة الوفيات. 
⁧#كلنا_مسؤول https://t.co/03eRiQiSbb",ar
22,1247962417843355649,2020-04-08 19:00:01,Ministry of Health,300,218,"How to safely receive packages and deliveries?
#COVID19 https://t.co/lN1xOIc5lQ",en
23,1247951876064247808,2020-04-08 18:18:07,Ministry of Health,497,415,"اختبار #كورونا من وزارة الصحة يعطيك المعلومة الأكيدة. 
حمل تطبيق موعد أو قم بتحديثه وخذ التوجيه السليم.",ar
24,1247947070872391681,2020-04-08 17:59:02,Ministry of Health,1412,1602,"اترك مسافة آمنة..
⁧#متر_ونص⁩
⁧#الوقاية_من_كورونا https://t.co/fRLwHIIwbO",ar
25,1247920107956973570,2020-04-08 16:11:53,Ministry of Health,1919,2090,"المحافظة على التباعد الاجتماعي يقيك من العدوى بإذن الله.
#متر_ونص 
#الوقاية_من_كورونا https://t.co/HLEXiFECH6",ar
26,1247914256101707782,2020-04-08 15:48:38,Ministry of Health,1222,986,وسيكون المؤتمر الصحفي هو منصة التحديث اليومي للحالات المسجلة بفيروس #كورونا الجديد وحالات التعافي وحالات الوفيات، والإعلان عن الحالات حسب اليوم الذي يسبق المؤتمر الصحفي.,ar
27,1247914253950111746,2020-04-08 15:48:37,Ministry of Health,4277,3107,"توضيح:
عدد الحالات المسجلة بتاريخ ٧ أبريل هو (٣٢٧) حالة كالتالي:
تم الإعلان عن ١٩٠ حالة ضمن المؤتمر الصحفي يوم أمس وهي الحالات المسجلة من بداية تاريخ ٧ أبريل إلى وقت المؤتمر .
تم الإعلان عن ١٣٧ حالة في مؤتمر اليوم وهي الحالات المسجلة من بعد وقت مؤتمر أمس إلى نهاية تاريخ ٧ أبريل.",ar
28,1247896632693145600,2020-04-08 14:38:36,Ministry of Health,763,595,أبرز ما جاء في المؤتمر الصحفي للمتحدث الرسمي لوزارة الصحة https://t.co/sizAZkI5Qu,ar
29,1247896594541772800,2020-04-08 14:38:27,Ministry of Health,329,212,Highlights of the press conference of the official spokesperson. https://t.co/Xm3V2sjxMV,en
30,1247892646586015745,2020-04-08 14:22:46,Ministry of Health,2304,1907,إجمالي عدد الحالات بلغ (2932) حالة بفيروس #كورونا الجديد (كوفيد19)، وتسجيل (16) حالة تعافي ليصبح مجموع الحالات المتعافية (631) حالة، ولا يوجد أي حالة وفاة اليوم ولله الحمد. https://t.co/DCpOKQiDrx,ar
31,1247599399934574598,2020-04-07 18:57:30,Ministry of Health,1022,906,"التصرف الصحيح عند الشعور بأعراض فيروس #كورونا الجديد، اعزل نفسك وكلم الصحة ٩٣٧ 
#كلنا_مسؤول https://t.co/23u6WFOfL0",ar
32,1247587443437490176,2020-04-07 18:10:00,Ministry of Health,428,301,"The family guide to stay happy and healthy.
#COVID19",en
33,1247582481055956992,2020-04-07 17:50:17,Ministry of Health,2855,3440,"{وإذا سألك عبادي عني فإني قريب} الهجوا بالدعاء وأكثروا منه، والتزموا بفعل الأسباب، الإجراءات الوقائية التي طبقتها الجهات المختصة، جاءت لتقليل مضاعفات الفيروس، تقيّد بها لصحتك.
⁧#كلنا_مسؤول https://t.co/AS3eOLNyIr",ar
34,1247508257041797122,2020-04-07 12:55:20,Ministry of Health,3607,3410,إجمالي عدد الحالات بلغ (2795) حالة بفيروس #كورونا الجديد (كوفيد19)، وتسجيل (3) حالات وفيات رحمهم الله، وتسجيل (64) حالة تعافي ليصبح مجموع الحالات المتعافية (615) حالة ولله الحمد. https://t.co/2q6tE3Fpsy,ar
35,1247504778000728070,2020-04-07 12:41:31,Ministry of Health,17383,20073,"كلمة معالي وزير الصحة.
#كلنا_مسؤول https://t.co/5H9YJSMiVB",ar
36,1247500899657924609,2020-04-07 12:26:06,Ministry of Health,1231,529,الآن على القناة الإخبارية كلمة لمعالي وزير الصحة.,ar
37,1247489811184844800,2020-04-07 11:42:02,Ministry of Health,847,847,"كيف يساهم البقاء في المنزل في حماية مجتمعنا من انتشار العدوى.
مع د.عبدالله عسيري. https://t.co/AKnypB7c2i",ar
38,1247419052101902338,2020-04-07 07:00:52,Ministry of Health,16233,3495,"تم تحديث عدد حالات فيروس #كورونا الجديد (COVID-19) حسب المدن والمحافظات في المملكة عبر الموقع الإلكتروني. 
التحديث القادم سيكون عند الساعة ٤ مساءً.
 https://t.co/DyUsux33ae",ar
39,1247273398914420736,2020-04-06 21:22:06,Ministry of Health,3578,3234,"إلى كل ممارس صحي، سلامتك تهمنا.
#الوقاية_من_كورونا https://t.co/s1D6lkBwYj",ar
40,1247241534220783621,2020-04-06 19:15:29,Ministry of Health,7296,2108,"تم تحديث عدد حالات فيروس #كورونا الجديد (COVID-19) حسب المدن والمحافظات في المملكة عبر الموقع الإلكتروني. 
التحديث القادم سيكون عند الساعة ١٠ صباحاً.
 https://t.co/DyUsux33ae",ar
41,1247216616456310800,2020-04-06 17:36:28,Ministry of Health,860,661,"بخطوات سهلة وبسيطة تقدر تتطمن على صحتك وصحة عائلتك عبر تطبيق موعد عن طريق ""اختبار كورونا""",ar
42,1247201692577345539,2020-04-06 16:37:10,Ministry of Health,1206,1139,"تعرف على الطريقة الصحيحة في استلام الطلب.
#الوقاية_من_كورونا https://t.co/kX3xKbiVNj",ar
43,1247176151698739202,2020-04-06 14:55:40,Ministry of Health,412,248,Highlights of the press conference of the official spokesperson. https://t.co/KC5LQqIaRe,en
44,1247176118349762560,2020-04-06 14:55:32,Ministry of Health,702,482,أبرز ما جاء في المؤتمر الصحفي للمتحدث الرسمي لوزارة الصحة https://t.co/cP0veDfKDr,ar
45,1247174486027370502,2020-04-06 14:49:03,Ministry of Health,2437,1948,إجمالي عدد الحالات بلغ (2523) حالة بفيروس #كورونا الجديد (كوفيد19)، وتسجيل (4) حالات وفيات رحمهم الله، وتسجيل (63) حالة تعافي ليصبح مجموع الحالات المتعافية (551) حالة ولله الحمد. https://t.co/qBzd01tB5L,ar
46,1247122792191070209,2020-04-06 11:23:38,Ministry of Health,1105,946,"اختيارك لتطبيقات التوصيل يغنيك عن الذهاب إلى التسوق، ولكن في حال الضرورة اتبع سبل الوقاية⬇️
#الوقاية_من_كورونا https://t.co/qZzwfRWgei",ar
47,1247057114545229826,2020-04-06 07:02:39,Ministry of Health,15423,4434,"تم تحديث عدد حالات فيروس #كورونا الجديد (COVID-19) حسب المدن والمحافظات في المملكة عبر الموقع الإلكتروني. 
التحديث القادم سيكون عند الساعة ٤ مساءً.
 https://t.co/DyUsux33ae",ar
48,1246908949699399680,2020-04-05 21:13:54,Ministry of Health,567,345,Some jobs carry a higher risk of #COVID19 transmission. https://t.co/cXzbnbLI3i,en
49,1246903118857732096,2020-04-05 20:50:44,Ministry of Health,609,421,"Not everything you read on the internet about #coronavirus is true.
 Here are a few common myths. 
#COVID19 https://t.co/5yQxC7Vbo0",en
50,1246890350733451264,2020-04-05 20:00:00,Ministry of Health,1840,1873,"قال صلى الله عليه وسلم: (كفى بالمرء كذبًا أن يحدث بكل ما سمع) تناقل الأخبار غير الصحيحة يعكس سلبًا على الجهود التوعوية التي تقدمها الجهات المختصة، كُن حدًا لكل شائعة.
⁧#كلنا_مسؤول https://t.co/fPTxUXiI5X",ar
51,1246881747331137536,2020-04-05 19:25:49,Ministry of Health,20630,6538,"تم تحديث عدد حالات فيروس #كورونا الجديد (COVID-19) حسب المدن والمحافظات في المملكة عبر الموقع الإلكتروني.
التحديث القادم سيكون عند الساعة ١٠ صباحاً.
 https://t.co/DyUsux33ae",ar
52,1246860152185053189,2020-04-05 18:00:00,Ministry of Health,1188,1152,"""ما أعطي أحد عطاء خيرًا ولا أوسع من الصبر"" 
تحقيق الصبر في هذه الأيام يأتي بالرضا والتسليم بما قدره الله تعالى وبما الزمتنا به الإجراءات الوقائية من المكوث في المنازل والابتعاد عن التجمعات.
#كلنا_مسؤول https://t.co/jJawZJEer6",ar
53,1246816208525156353,2020-04-05 15:05:23,Ministry of Health,542,255,Highlights of the press conference of the official spokesperson. https://t.co/ydS7ocFmoz,en
54,1246815865422729223,2020-04-05 15:04:01,Ministry of Health,1229,920,أبرز ما جاء في المؤتمر الصحفي للمتحدث الرسمي لوزارة الصحة https://t.co/Lm0EiLvWwj,ar
55,1246783826812194816,2020-04-05 12:56:43,Ministry of Health,4750,4222,إجمالي عدد الحالات بلغ (2385) حالة بفيروس #كورونا الجديد (كوفيد19)، وتسجيل (5) حالات وفيات رحمهم الله، وتسجيل (68) حالة تعافي ليصبح مجموع الحالات المتعافية (488) حالة ولله الحمد. https://t.co/I69AUgvZ0l,ar
56,1246524156457426945,2020-04-04 19:44:52,Ministry of Health,429,267,"To stop the spread of the virus and protect those around you, isolate yourself as soon as you experience symptoms such as fever or shortness of breath and contact (MoH) 937 
#COVID19 https://t.co/plzyqIfsJa",en
57,1246519955006402561,2020-04-04 19:28:11,Ministry of Health,817,747,اتباعك إرشادات الوقاية هو درعك المضاد من فيروس #كورونا الجديد بإذن الله. https://t.co/iYcsh9cGwM,ar
58,1246490851070693382,2020-04-04 17:32:32,Ministry of Health,371,210,Highlights of the press conference of the official spokesperson. https://t.co/bZ8NCSCg0D,en
59,1246490802165092352,2020-04-04 17:32:20,Ministry of Health,873,568,أبرز ما جاء في المؤتمر الصحفي للمتحدث الرسمي لوزارة الصحة https://t.co/GgocPOwQRc,ar
60,1246421871546990594,2020-04-04 12:58:26,Ministry of Health,6867,6629,#الصحة تعلن عن تسجيل (140) حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد19)، وتسجيل (4) حالات وفيات رحمهم الله، وتسجيل (69) حالة تعافي ليصبح مجموع الحالات المتعافية (420) حالة ولله الحمد. https://t.co/ql3KE2JgJe,ar
61,1246196636113670144,2020-04-03 22:03:25,Ministry of Health,5913,3603,صحة المواطن والمقيم أولوية قصوى. https://t.co/yqpgzERdNp,ar
62,1246171865942499329,2020-04-03 20:25:00,Ministry of Health,1030,994,"بذل السبب وسيلة لتحقيق التوكل ويأتي بطاعة الله في الامتثال لأمره بفعل الأسباب المؤدية إلى حماية النفس والمجتمع من الأمراض والأوبئة.
#كلنا_مسؤول https://t.co/0AMuC8zLpC",ar
63,1246153461680484352,2020-04-03 19:11:52,Ministry of Health,2834,1859,"دائمًا متأهبون لأجلك..
#أبطال_الصحة https://t.co/5QEEDici9Q",ar
64,1246136827288977409,2020-04-03 18:05:46,Ministry of Health,464,293,"For your safety, please don't forget to wash your hands with soap and water before ablution (Wudhu')
#COVID19 https://t.co/VBo88JTx6w",en
65,1246127008758796291,2020-04-03 17:26:45,Ministry of Health,527,361,"If you experience any symptoms, please head to the nearest healthcare facility to receive the required treatment free of charge. 
#COVID19 https://t.co/UqeaWmdek8",en
66,1246080392941252610,2020-04-03 14:21:31,Ministry of Health,488,265,Highlights of the press conference of the official spokesperson. https://t.co/w8JdUaW3xH,en
67,1246080346527076354,2020-04-03 14:21:20,Ministry of Health,949,654,أبرز ما جاء في المؤتمر الصحفي للمتحدث الرسمي لوزارة الصحة https://t.co/EZcrMAMXxg,ar
68,1246060522245627904,2020-04-03 13:02:33,Ministry of Health,6580,6545,#الصحة تعلن عن تسجيل (154) حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد19)، وتسجيل (4) حالات وفيات رحمهم الله، وتسجيل (23) حالة تعافي ليصبح مجموع الحالات المتعافية (351) حالة ولله الحمد. https://t.co/0iwihREEcS,ar
69,1245812470444363776,2020-04-02 20:36:53,Ministry of Health,860,759,"حفاظًا للنفس، اجعل تعليمات الوقاية نصب عينك، واستشعر أهميتها.
#كلنا_مسؤول https://t.co/Q0saV4bD9b",ar
70,1245799455229698052,2020-04-02 19:45:10,Ministry of Health,378,212,Highlights of the press conference of the official spokesperson. https://t.co/IgVwDDhvdr,en
71,1245799116459978752,2020-04-02 19:43:49,Ministry of Health,769,483,أبرز ما جاء في المؤتمر الصحفي للمتحدث الرسمي لوزارة الصحة https://t.co/Xc4a5rq8n4,ar
72,1245783974783455232,2020-04-02 18:43:39,Ministry of Health,1331,1084,"حبكم واصل و #عاذرينكم
#الوقاية_من_كورونا 
#كلنا_مسؤول https://t.co/KYQw38ivrj",ar
73,1245768241949130765,2020-04-02 17:41:08,Ministry of Health,821,592,"من #أسئلة_كورونا المتداولة،
هل يساعد تناول الثوم في منع الإصابة بفيروس كورونا ؟ https://t.co/YnikRC0AZ5",ar
74,1245759548968886272,2020-04-02 17:06:36,Ministry of Health,726,617,"من #أسئلة_كورونا المتداولة، 
هل الحلاق ينقل فيروس كورونا ؟ https://t.co/59UfiKqGEM",ar
75,1245696309111250946,2020-04-02 12:55:18,Ministry of Health,6708,7019,#الصحة تعلن عن تسجيل (165) حالة إصابة جديدة بفيروس #كورونا الجديد (كوفيد19)، وتسجيل (5) حالات وفيات رحمهم الله، وتسجيل (64) حالة تعافي ليصبح مجموع الحالات المتعافية (328) حالة ولله الحمد. https://t.co/6GobLJG5EA,ar
76,1245646602401771520,2020-04-02 09:37:47,Ministry of Health,2492,2390,"وعلى الله فتوكلوا إن كنتم مؤمنين)
التوكل على الله، في تفويض الأمور له وعدم ترك الأسباب يأتي باستشعار الفرد لأهمية اتباع الأمر في سبيل الحفاظ على صحة البدن والوطن.
#كلنا_مسؤول https://t.co/XbKuxos5gb",ar
77,1245448348255092737,2020-04-01 20:30:00,Ministry of Health,950,994,"الوسيلة الأهم بإذن الله لحماية أنفسنا من فيروس #كورونا الجديد.
#الوقاية_من_كورونا https://t.co/r5A0Jj5bXD",ar
78,1245427522613006339,2020-04-01 19:07:14,Ministry of Health,1151,912,"بالوعي نحمي أنفسنا ومجتمعنا بإذن الله، شكراً على وعيكم.  
#الوقاية_من_كورونا
#كلنا_مسؤول https://t.co/TBWPWdL5YW",ar
79,1245419975294234624,2020-04-01 18:37:15,Ministry of Health,2406,2657,"تصرفات يومية قد تجهل دورها في نقل العدوى، شاهد الفيديو لمعرفة السلوكيات الخاطئة وتصحيحها. 
#الوقاية_من_كورونا https://t.co/Q4OUYPu0yn",ar
80,1245395503266836480,2020-04-01 17:00:00,Ministry of Health,649,646,"جهودٌ تُبذل لتحقيق المصلحة العامة، أتت بقرارات حاسمة من أجل إنقاذ الأرواح، لا تكن سببًا في تفشي الوباء.
#كلنا_مسؤول https://t.co/QmnS5FcFpG",ar
81,1245393017227403270,2020-04-01 16:50:08,Ministry of Health,275,192,"Pregnant and worried about Coronavirus? Stay safe with these tips.
#COVID19 https://t.co/Lu5rLQqgdK",en
82,1245392018244845568,2020-04-01 16:46:10,Ministry of Health,250,186,"Simple precautions you can take to breastfeed your baby safely these days.
#COVID19 https://t.co/hx9PDl8nQv",en
83,1245383523604860930,2020-04-01 16:12:24,Ministry of Health,1634,990,"شكراً ألحان..  
#أبطال_الصحة https://t.co/KkRrSh6OwQ",ar
84,1245369430063923200,2020-04-01 15:16:24,Ministry of Health,343,235,Highlights of the press conference of the official spokesperson. https://t.co/o04W9uwyWF,en
85,1245369380717973508,2020-04-01 15:16:12,Ministry of Health,787,619,أبرز ما جاء في المؤتمر الصحفي للمتحدث الرسمي لوزارة الصحة https://t.co/ocq43FgaKf,ar
